"","id","latitude","longitude","date","depth","average_bleaching","clim_sst","temperature_kelvin","temperature_mean","temperature_minimum","temperature_maximum","temperature_kelvin_standard_deviation","windspeed","ssta","ssta_standard_deviation","ssta_mean","ssta_minimum","ssta_maximum","ssta_frequency","ssta_frequency_standard_deviation","ssta_frequency_max","ssta_frequency_mean","ssta_dhw","ssta_dhw_standard_deviation","ssta_dhw_max","ssta_dhw_mean","tsa","tsa_standard_deviation","tsa_minimum","tsa_maximum","tsa_mean","tsa_frequency","tsa_frequency_standard_deviation","tsa_frequency_max","tsa_frequency_mean","tsa_dhw","tsa_dhw_standard_deviation","tsa_dhw_max","tsa_dhw_mean","index","mean_airt_1","mean_atmp","mean_rad_par_1","mean_sw_1"
"1","97","-20.89983333","149.4077222","3/26/2016",4,6.25,297.78,301.67,298.17,291.91,303.85,2.74,5,1.32,0.87,0,-3.21,2.83,12,5.49,26,6,3.96,3.13,19.88,2.18,0.23,2.74,-9.52,2.4,-3.26,3,1.95,7,1,3.52,1.36,8.43,0.52,1,18.59,1019.14,1874.7,771.625
"2","98","-20.89305556","149.421","3/26/2016",5,8.75,297.78,301.67,298.17,291.91,303.85,2.74,5,1.32,0.87,0,-3.21,2.83,12,5.49,26,6,3.96,3.13,19.88,2.18,0.23,2.74,-9.52,2.4,-3.26,3,1.95,7,1,3.52,1.36,8.43,0.52,2,18.655,1019.07,1874.95,774.98
"3","116","-20.74580556","149.4720556","3/27/2016",6,11.25,298.17,301.38,298.34,292.67,303.76,2.57,5,0.87,0.82,0,-2.701111111,2.6,10,5.67,27,5,2.68,3.14,18.95,1.97,-0.03,2.57,-8.73,2.34,-3.06,1,1.47,5,1,1.51,1.23,7.32,0.49,3,23.71,1013.097225,730.3345,335.314
"4","117","-20.73769444","149.4649444","3/27/2016",5,25,298.21,301.56,298.37,292.01,304.04,2.52,5,1.07,0.81,0,-2.803333333,3.44,8,5.27,25,5,3.65,2.89,18.05,1.86,0.17,2.52,-9.38,2.64,-3.01,2,1.31,5,1,2.36,0.97,6.86,0.36,4,23.67,1013.083605,705.1695,323.0505
"5","142","-20.25936111","148.8145833","8/6/2017",2,1,296.48,296.38,298.47,291.83,304.54,2.7,4,1.76,0.93,0,-3.268571429,3.15,17,6.12,30,7,3.84,3.56,21.17,2.54,-5.34,2.7,-9.88,2.81,-3.23,4,1.72,7,1,0,1.47,9.84,0.56,5,18.765,1018.37368421053,1843.8,806.835
"6","145","-20.25255556","148.8129167","8/6/2017",2,33.75,296.48,296.38,298.47,291.83,304.54,2.7,4,1.76,0.93,0,-3.268571429,3.15,17,6.12,30,7,3.84,3.56,21.17,2.54,-5.34,2.7,-9.88,2.81,-3.23,4,1.72,7,1,0,1.47,9.84,0.56,6,18.775,1018.39473684211,1849.7,804.965
"7","155","-20.06580556","148.9481111","4/23/2016",7,9.25,298.77,299.31,298.68,293.39,304.04,2.43,7,0.56,2.42,0,-3.60875,5.48,24,3.47,30,20,38.18,13.17,45.45,11.76,0.49,2.43,-5.42,5.21,-0.13,24,3.52,30,19,35.64,12.31,42.81,10.92,7,23.755,1011.55784,0,-0.734
"8","158","-20.039","148.8758333","4/23/2016",4,40,296.79,299.88,298.69,292.94,304.3,2.48,7,0.43,0.88,0,-3.38,3.29,14,6.08,29,6,7.37,3.33,21.97,2.18,-1.75,2.48,-8.68,2.66,-2.93,4,2.01,8,1,4.83,1.6,10.99,0.61,8,19.91,1018.835,1239.45,430.465
"9","166","-19.81777778","149.0658056","5/28/2016",5,9.5,295.74,299.34,298.72,292.92,304.14,2.23,5,1.73,0.77,0,-3.623333333,3.8,8,5.14,24,4,6.27,2.77,18.72,1.59,-2.1,2.23,-8.51,2.7,-2.71,3,1.3,5,1,0,1.01,6.9,0.34,9,20.44,1017.55,55.1,19.7
"10","167","-19.81777778","149.0658056","8/7/2017",5,11.75,296.83,296.51,298.72,292.92,304.14,2.23,4,0.98,0.77,0,-3.623333333,3.8,11,5.14,24,4,1.28,2.77,18.72,1.59,-4.93,2.23,-8.51,2.7,-2.71,3,1.3,5,1,0,1.01,6.9,0.34,10,20.44,1017.55,55.1,19.7
